id_etudiant,prenom_etudiant,nom_etudiant,email,sex,date_naissance,mention,specialite,frais_scolarite,cours_rate,loisirs,date_debut,date_sortie
1,Tam,Sandwick,tsandwick0@princeton.edu,M,17/7/1993,passable,Licence-IT,"€2773,84",2.0,sport,8/2/2018,8/22/2022
2,Euell,Gabbatt,egabbatt1@netlog.com,M,5/2/1996,bien,Business,"€2003,15",7.0,,8/20/2017,12/5/2023
3,Adan,Antonchik,aantonchik2@toplist.cz,M,9/8/2003,bien,Licence-IT,"€2039,02",4.0,,2/16/2017,6/15/2021
4,Lela,Cavilla,lcavilla3@umn.edu,F,3/7/1991,bien,ING-IT,"€3676,58",8.0,,12/18/2015,5/15/2021
5,Banky,Pipet,bpipet4@sourceforge.net,M,27/3/1991,trés bien,Licence-IT,"€3660,16",9.0,sport,9/3/2016,5/12/2022
6,Manuel,Norvel,mnorvel5@amazonaws.com,M,7/12/2002,faible,Prepa,"€2639,89",10.0,sport,7/10/2016,10/19/2021
7,Truman,Crawcour,tcrawcour6@fastcompany.com,M,29/5/1998,faible,Licence-IT,"€2766,85",1.0,,9/17/2018,8/25/2020
8,Desmond,Heavyside,dheavyside7@china.com.cn,M,24/9/1996,bien,ING-IT,"€3417,44",0.0,,1/24/2018,4/10/2020
9,Federico,Rudham,frudham8@cisco.com,M,10/4/1993,trés bien,ING-IT,"€4436,90",7.0,Danser,6/18/2018,6/15/2021
10,Alvira,Roswarne,aroswarne9@virginia.edu,F,17/5/1999,bien,Prepa,"€3946,54",4.0,Danser,5/26/2018,11/10/2022
11,Bentlee,McNickle,bmcnicklea@wp.com,M,16/5/1990,bien,Business,"€3000,31",7.0,,10/14/2017,4/20/2024
12,Duffie,D'Agostini,ddagostinib@facebook.com,M,25/6/2005,passable,Prepa,"€2110,67",4.0,,11/11/2017,8/28/2020
13,Archy,Goulborn,agoulbornc@a8.net,M,19/12/1998,bien,Licence-IT,"€2589,71",0.0,,10/31/2016,12/24/2023
14,Bernardo,Shropsheir,bshropsheird@t-online.de,M,28/1/2004,passable,Business,"€2277,37",4.0,,1/31/2016,9/1/2022
15,Richy,Petricek,rpetriceke@smugmug.com,M,23/3/1996,trés bien,Prepa,"€4036,03",4.0,Danser,1/8/2016,9/26/2024
16,Virge,Neem,vneemf@google.de,M,4/2/1999,trés bien,Licence-IT,"€4755,56",7.0,,1/15/2016,5/6/2024
17,Cassandra,Boame,cboameg@seattletimes.com,F,13/8/2005,faible,ING-IT,"€2305,89",6.0,Jardinage,5/3/2018,6/9/2020
18,Jobye,Willatts,jwillattsh@nydailynews.com,F,18/9/2005,trés bien,Licence-IT,"€4689,58",5.0,,12/22/2015,2/13/2021
19,Adelheid,Mulles,amullesi@mozilla.org,F,8/3/2001,bien,Licence-IT,"€2132,74",2.0,,6/2/2016,7/2/2024
20,Sherman,Anthiftle,santhiftlej@wsj.com,M,29/4/1990,faible,Prepa,"€2092,51",9.0,,9/6/2018,3/1/2020
21,Wakefield,Bleaden,wbleadenk@hexun.com,M,1/12/1995,bien,Licence-IT,"€4120,44",1.0,,9/15/2016,6/5/2020
22,Clevey,Mollon,cmollonl@technorati.com,M,3/10/1995,faible,Licence-IT,"€4986,25",1.0,,2/2/2017,2/27/2022
23,Wendel,Pimerick,wpimerickm@prlog.org,,21/5/1990,passable,Prepa,"€2769,42",7.0,,11/3/2018,5/17/2024
24,Gayelord,Piatkow,gpiatkown@behance.net,M,26/5/1997,trés bien,ING-IT,"€2845,84",7.0,,5/29/2016,3/18/2020
25,Druci,Tremblett,dtrembletto@webeden.co.uk,F,14/9/2004,trés bien,Licence-IT,"€4243,78",9.0,,1/13/2018,2/23/2021
26,Hercules,Churchard,hchurchardp@vkontakte.ru,M,8/4/1999,passable,Licence-IT,"€2536,34",3.0,bricolage,12/28/2017,12/31/2023
27,James,Dobkin,jdobkinq@usgs.gov,M,11/2/1996,passable,ING-IT,"€4293,97",0.0,bricolage,2/27/2016,8/18/2021
28,Connor,Louys,clouysr@pen.io,M,17/10/1998,bien,Licence-IT,"€2488,95",7.0,,11/26/2017,3/2/2021
29,Yolanda,Haldene,yhaldenes@kickstarter.com,F,29/5/1996,passable,ING-IT,"€4435,54",1.0,,7/7/2016,9/5/2021
30,Payton,Edlyne,pedlynet@rambler.ru,M,18/11/2003,trés bien,Business,"€2638,46",9.0,,3/17/2018,1/9/2022
31,Arni,Manifould,amanifouldu@mayoclinic.com,M,13/10/1992,faible,Business,"€3046,66",6.0,,6/23/2016,5/27/2023
32,Currey,Fashion,cfashionv@wufoo.com,M,9/9/1998,bien,Prepa,"€2761,32",1.0,,5/23/2018,3/6/2021
33,Karoly,Rishbrook,krishbrookw@gizmodo.com,F,14/7/1992,bien,Prepa,"€4943,64",9.0,,11/22/2016,7/12/2023
34,Tam,Gleeson,tgleesonx@mlb.com,M,28/7/2000,bien,Prepa,"€3928,56",4.0,Jardinage,6/12/2018,7/9/2022
35,Francoise,Petrushanko,fpetrushankoy@ucoz.com,F,28/5/1993,passable,Licence-IT,"€4344,37",3.0,,11/5/2017,6/19/2023
36,Ber,Spreull,bspreullz@businessinsider.com,M,28/5/2001,faible,ING-IT,"€2598,99",2.0,Danser,6/12/2017,6/21/2024
37,Michaela,Burnes,mburnes10@netlog.com,F,18/12/1996,trés bien,Prepa,"€3714,79",8.0,,12/26/2016,5/15/2022
38,Tarrah,Tedorenko,ttedorenko11@pcworld.com,F,6/11/1990,bien,Prepa,"€2540,34",4.0,,11/9/2016,8/25/2022
39,Arline,Vanichkov,avanichkov12@spotify.com,F,15/2/2004,faible,Prepa,"€3206,65",3.0,,4/30/2018,12/21/2019
40,Robb,Loudyan,rloudyan13@amazon.de,M,2/4/1994,faible,Business,"€3010,61",8.0,,7/8/2018,5/18/2023
41,Malory,Bohden,mbohden14@irs.gov,F,15/11/1999,trés bien,Licence-IT,"€3591,81",4.0,bricolage,2/8/2016,3/28/2023
42,Lilla,Stedman,lstedman15@imgur.com,F,5/5/1994,trés bien,Business,"€4548,24",0.0,,12/9/2017,11/6/2022
43,Laurene,Scroyton,lscroyton16@storify.com,F,16/11/1999,trés bien,Business,"€3081,28",2.0,,1/6/2016,1/15/2022
44,Bea,Leagas,bleagas17@typepad.com,F,22/9/1994,passable,Business,"€4337,97",2.0,Danser,9/12/2017,2/1/2023
45,Lanette,Robertz,lrobertz18@wired.com,F,21/8/1996,trés bien,Prepa,"€3869,97",3.0,sport,7/24/2017,12/12/2020
46,Florian,Trubshaw,ftrubshaw19@stumbleupon.com,M,8/7/2000,trés bien,Prepa,"€2856,98",2.0,Jardinage,6/3/2017,5/28/2022
47,Norina,Maddie,nmaddie1a@vistaprint.com,F,16/2/1996,trés bien,Business,"€2190,30",0.0,,12/10/2015,2/28/2020
48,Obediah,Coleshill,ocoleshill1b@sina.com.cn,M,21/2/1991,bien,Licence-IT,"€4445,13",0.0,,1/18/2016,4/15/2021
49,Lem,Carroll,lcarroll1c@tinyurl.com,M,10/4/1997,faible,Licence-IT,"€3147,78",9.0,,1/10/2017,7/1/2022
50,Trix,Devinn,tdevinn1d@npr.org,F,29/6/1992,bien,Prepa,"€4226,44",5.0,,7/29/2016,6/24/2020
51,Aloin,Le Batteur,alebatteur1e@yahoo.com,M,7/4/1990,bien,Prepa,"€3746,48",1.0,,12/5/2015,2/2/2022
52,Harlin,Wymer,hwymer1f@dedecms.com,M,7/10/2004,faible,Licence-IT,"€4407,14",0.0,sport,2/14/2016,10/25/2023
53,Rafael,Freathy,rfreathy1g@tiny.cc,M,22/2/2001,faible,Business,"€4331,43",10.0,,7/3/2016,12/17/2023
54,Howey,Fludder,hfludder1h@ycombinator.com,M,5/11/1991,passable,ING-IT,"€2370,04",4.0,,4/17/2017,2/4/2022
55,Balduin,Roundtree,broundtree1i@t-online.de,M,4/5/2000,trés bien,Business,"€2320,38",2.0,,12/8/2016,8/20/2022
56,Neils,Mogey,nmogey1j@ifeng.com,M,29/12/2003,trés bien,Licence-IT,"€4170,63",7.0,bricolage,10/26/2016,1/17/2024
57,Frank,Jefferson,fjefferson1k@dailymotion.com,F,4/4/1998,trés bien,Prepa,"€4815,13",10.0,,11/17/2016,3/15/2022
58,Hakeem,Shayler,hshayler1l@sitemeter.com,M,2/5/2003,faible,Licence-IT,"€4435,38",9.0,,2/4/2018,10/11/2022
59,Kordula,Zukierman,kzukierman1m@ox.ac.uk,F,29/3/1991,passable,Business,"€4540,51",1.0,,2/4/2016,3/8/2023
60,Christos,Goodbur,cgoodbur1n@irs.gov,M,17/12/2003,bien,Business,"€3631,14",6.0,,8/7/2017,3/27/2023
61,Hasty,Lakey,hlakey1o@elpais.com,M,26/10/1994,faible,Business,"€4598,88",10.0,,6/17/2017,1/16/2023
62,Normy,Stoneham,nstoneham1p@netscape.com,M,16/10/1990,bien,Business,"€4070,34",9.0,Jardinage,9/26/2017,4/18/2022
63,Parnell,Lamb,plamb1q@newyorker.com,M,14/7/2003,passable,Business,"€2259,93",5.0,Jardinage,1/2/2018,2/18/2020
64,Hebert,Weedall,hweedall1r@trellian.com,M,22/12/1997,trés bien,Business,,9.0,Jardinage,9/16/2018,2/20/2021
65,Jeannine,Sauter,jsauter1s@posterous.com,F,12/12/1994,faible,Licence-IT,,4.0,sport,11/16/2016,4/23/2024
66,Jamil,Pattesall,jpattesall1t@si.edu,M,16/1/1995,trés bien,Prepa,"€4663,22",3.0,,1/9/2017,10/19/2024
67,Westbrooke,Vankeev,wvankeev1u@e-recht24.de,M,27/1/1992,faible,ING-IT,"€2181,72",0.0,,2/16/2017,12/24/2019
68,Erv,Tinan,etinan1v@networksolutions.com,M,25/5/1992,passable,Business,"€4094,15",4.0,sport,11/2/2016,11/17/2024
69,Valentin,Kidsley,vkidsley1w@phpbb.com,M,25/7/1992,trés bien,ING-IT,"€3524,52",0.0,Jardinage,7/4/2016,7/10/2021
70,Conchita,Burhill,cburhill1x@wufoo.com,F,11/8/1998,trés bien,Business,"€4357,01",5.0,sport,12/14/2016,4/14/2024
71,Rodge,Pyvis,rpyvis1y@example.com,M,28/11/1995,bien,Licence-IT,"€2406,15",1.0,,10/27/2017,2/2/2023
72,Maximilianus,Startin,mstartin1z@google.cn,M,21/9/1996,trés bien,Licence-IT,"€3879,31",10.0,,5/1/2016,4/12/2020
73,Malvina,Tubbs,mtubbs20@woothemes.com,F,11/6/1992,bien,Licence-IT,"€3015,89",10.0,,12/1/2016,4/27/2022
74,Reiko,Kellitt,rkellitt21@posterous.com,F,7/5/1999,faible,ING-IT,"€2946,56",2.0,bricolage,10/27/2018,4/28/2021
75,Esteban,Pyne,epyne22@surveymonkey.com,M,11/8/1997,passable,Licence-IT,"€2395,34",6.0,,1/29/2018,6/26/2023
76,Nealon,Coie,ncoie23@cloudflare.com,M,6/6/1991,trés bien,ING-IT,"€3204,42",9.0,,8/15/2018,2/16/2020
77,Marianne,Thamelt,mthamelt24@jugem.jp,F,12/7/2001,passable,Business,"€4263,77",8.0,Jardinage,1/5/2018,3/15/2021
78,Hazel,Nagle,hnagle25@phoca.cz,M,1/2/2002,passable,ING-IT,"€2536,69",10.0,Danser,1/8/2016,3/18/2022
79,Tersina,Nelthrop,tnelthrop26@odnoklassniki.ru,F,27/5/2003,trés bien,Licence-IT,"€2835,74",1.0,,5/25/2016,12/1/2022
80,Temp,Karmel,tkarmel27@163.com,M,27/3/2005,passable,Prepa,"€3432,53",4.0,,10/22/2016,6/2/2022
81,Marietta,Colquit,mcolquit28@meetup.com,M,27/11/2002,faible,Licence-IT,"€3499,99",9.0,sport,2/1/2017,5/27/2020
82,Jacki,Fermoy,jfermoy29@huffingtonpost.com,F,1/9/1993,faible,Business,,0.0,,2/5/2017,1/14/2021
83,Victoria,Eakley,veakley2a@techcrunch.com,F,22/2/1995,passable,Licence-IT,"€4411,92",2.0,sport,6/23/2017,8/28/2021
84,Carson,Glasgow,cglasgow2b@state.tx.us,M,13/2/2001,trés bien,ING-IT,"€3112,12",2.0,,6/30/2018,2/1/2024
85,Marty,Kits,mkits2c@pen.io,M,1/4/1995,bien,Licence-IT,"€4803,73",10.0,,5/16/2016,1/13/2024
86,Carolin,Heining,cheining2d@google.de,F,27/2/2000,faible,Licence-IT,"€2764,84",1.0,,12/3/2017,2/21/2020
87,Nealson,Thebe,nthebe2e@mlb.com,M,22/6/1997,passable,ING-IT,"€2278,38",4.0,,7/21/2018,8/4/2024
88,Red,Teissier,rteissier2f@skyrock.com,M,11/2/1994,passable,ING-IT,"€2028,22",5.0,Jardinage,10/16/2017,7/4/2021
89,Skyler,Aslett,saslett2g@dot.gov,M,9/5/1990,passable,Business,"€2724,29",1.0,,9/12/2018,7/18/2020
90,Camala,Currer,ccurrer2h@netvibes.com,F,24/8/1994,passable,Business,"€4371,39",7.0,,7/7/2016,9/22/2022
91,Roch,Josofovitz,rjosofovitz2i@163.com,F,27/10/2001,trés bien,Licence-IT,"€4333,21",3.0,bricolage,4/25/2016,5/13/2024
92,Free,Kernocke,fkernocke2j@comcast.net,M,15/3/2001,trés bien,Licence-IT,"€2513,36",8.0,,12/1/2015,11/11/2023
93,Pamella,Dibson,pdibson2k@artisteer.com,F,17/8/2005,faible,Prepa,"€3991,09",7.0,,8/2/2016,10/21/2022
94,Felice,Schwanden,fschwanden2l@gmpg.org,M,29/11/2001,passable,Business,"€3069,96",1.0,,7/28/2016,9/15/2024
95,Marcellina,Trousdale,mtrousdale2m@youtu.be,F,10/2/2003,trés bien,ING-IT,"€2255,53",10.0,,7/24/2018,11/23/2022
96,Cazzie,Pygott,cpygott2n@unesco.org,M,21/12/1995,faible,Prepa,"€4432,06",2.0,,9/3/2018,4/28/2020
97,Rusty,Dorey,rdorey2o@newsvine.com,,7/7/1991,passable,Licence-IT,"€4797,79",8.0,,6/15/2018,7/26/2024
98,Obadiah,Roja,oroja2p@cbc.ca,M,29/5/1998,trés bien,Licence-IT,"€4988,94",0.0,,2/1/2016,1/7/2021
99,Hildagarde,Standring,hstandring2q@google.co.uk,F,8/3/1992,passable,Licence-IT,"€4785,72",5.0,,5/18/2016,10/12/2024
100,Halsy,Lease,hlease2r@reddit.com,M,17/12/1998,trés bien,Licence-IT,"€4264,17",7.0,Danser,9/5/2017,12/23/2021
101,Fredelia,Brinkworth,fbrinkworth2s@geocities.com,F,21/4/1996,passable,Business,"€4489,05",7.0,Danser,8/14/2016,1/30/2021
102,Rea,Thurlbeck,rthurlbeck2t@parallels.com,F,8/7/2003,faible,Licence-IT,"€4497,66",4.0,Jardinage,6/2/2018,12/1/2023
103,Larissa,Wilby,lwilby2u@woothemes.com,F,27/4/2004,trés bien,ING-IT,"€3622,12",9.0,,11/27/2016,9/7/2023
104,Rozella,Simyson,rsimyson2v@flickr.com,F,19/3/2000,trés bien,ING-IT,"€4865,98",1.0,Jardinage,6/22/2017,4/3/2020
105,Adlai,Jonczyk,ajonczyk2w@amazon.com,M,26/7/1998,faible,Licence-IT,"€3099,64",10.0,Danser,11/26/2017,2/10/2020
106,Gratiana,Pikett,gpikett2x@bloglovin.com,F,7/9/1999,bien,Prepa,"€3103,68",10.0,,2/20/2016,10/16/2023
107,Archibold,Gaskin,agaskin2y@boston.com,M,2/9/1993,bien,Prepa,"€3355,41",3.0,,6/28/2017,3/14/2023
108,Alix,Howling,ahowling2z@boston.com,F,19/2/2001,faible,ING-IT,"€3930,95",8.0,sport,7/25/2018,7/2/2023
109,Gan,Janeczek,gjaneczek30@bbc.co.uk,M,28/2/1997,bien,ING-IT,"€4946,14",10.0,Danser,7/1/2017,5/17/2020
110,Elka,Cocklie,ecocklie31@wunderground.com,F,22/6/2005,trés bien,Prepa,"€4325,05",6.0,,5/20/2017,3/26/2024
111,Louella,Giovannacci,lgiovannacci32@businesswire.com,F,22/3/1999,passable,Licence-IT,"€4955,63",7.0,,7/29/2018,5/13/2022
112,Dilan,Jeanin,djeanin33@craigslist.org,M,13/9/2003,faible,Prepa,"€4530,44",9.0,,9/11/2017,6/26/2020
113,Jolyn,Downage,jdownage34@umich.edu,F,31/7/1998,passable,ING-IT,"€4100,94",6.0,,12/22/2017,11/15/2023
114,Roderich,Berthod,rberthod35@mtv.com,M,11/9/1996,passable,Licence-IT,"€3101,94",1.0,,1/29/2018,5/4/2024
115,Loy,Korejs,lkorejs36@eepurl.com,,12/11/2005,bien,Prepa,,10.0,,6/30/2018,9/3/2023
116,Martguerita,Squirrell,msquirrell37@vinaora.com,F,23/6/2001,faible,Prepa,"€3542,10",6.0,Danser,2/18/2018,1/19/2024
117,Mahmoud,Blondin,mblondin38@sphinn.com,M,3/8/2004,faible,Business,"€4796,02",3.0,Danser,11/4/2017,1/12/2020
118,Sue,Wardley,swardley39@jugem.jp,F,27/7/2000,faible,Prepa,"€2283,90",0.0,,2/28/2016,11/19/2022
119,Ellerey,Tweede,etweede3a@nsw.gov.au,M,20/8/2000,bien,ING-IT,"€3752,48",9.0,sport,4/8/2016,12/2/2023
120,Kit,Placido,kplacido3b@wikimedia.org,M,11/2/1998,passable,Prepa,"€2949,93",2.0,,3/5/2016,1/7/2021
121,Mateo,Gullefant,mgullefant3c@t-online.de,M,17/9/1993,faible,ING-IT,"€4090,18",9.0,,11/23/2017,3/31/2020
122,Waylan,Nesbeth,wnesbeth3d@buzzfeed.com,M,19/7/2000,bien,ING-IT,"€4714,19",8.0,,3/9/2017,4/8/2021
123,Netti,Von Welden,nvonwelden3e@issuu.com,F,14/9/1993,passable,ING-IT,"€4016,93",1.0,,1/17/2018,10/17/2022
124,Whitney,Attenbrough,wattenbrough3f@ezinearticles.com,F,21/7/2005,bien,Licence-IT,"€4704,79",3.0,,1/27/2016,1/25/2021
125,Alexio,Bilbey,abilbey3g@chron.com,M,13/7/1999,passable,Licence-IT,"€3917,20",7.0,,10/4/2017,12/10/2022
126,Gradey,Manwaring,gmanwaring3h@t-online.de,M,16/9/2004,passable,Prepa,"€3984,79",6.0,Danser,4/17/2016,8/12/2022
127,Elbertina,Ricold,ericold3i@bravesites.com,F,26/6/2005,bien,Licence-IT,,2.0,Danser,3/23/2016,10/3/2023
128,Gunner,Delafoy,gdelafoy3j@sakura.ne.jp,M,5/8/1994,passable,Business,"€2263,66",6.0,,10/6/2017,4/26/2024
129,Cloris,Boulstridge,cboulstridge3k@csmonitor.com,F,16/12/1991,passable,ING-IT,"€2586,77",2.0,,3/5/2018,3/3/2022
130,Fair,Ettritch,fettritch3l@skyrock.com,M,2/11/1998,bien,Prepa,"€3467,11",4.0,,11/10/2018,7/25/2024
131,Cecilio,Hamfleet,chamfleet3m@yellowpages.com,M,7/7/1990,bien,Licence-IT,"€3573,38",5.0,,8/26/2017,9/14/2023
132,Ase,Arnhold,aarnhold3n@geocities.com,M,18/10/1991,trés bien,Prepa,"€2376,21",9.0,Jardinage,11/30/2016,10/19/2023
133,Isabella,Judkins,ijudkins3o@deliciousdays.com,F,12/6/2003,bien,Prepa,"€4184,21",8.0,bricolage,12/9/2017,8/26/2022
134,Jennee,Bott,jbott3p@auda.org.au,F,2/8/1991,passable,Business,"€3876,37",9.0,,8/7/2016,7/21/2020
135,Fedora,Andreotti,fandreotti3q@fastcompany.com,F,15/9/1995,bien,Prepa,"€4409,50",2.0,Danser,1/8/2017,12/4/2020
136,Gae,Torald,gtorald3r@foxnews.com,F,26/10/2001,passable,Licence-IT,"€3413,15",10.0,,11/4/2018,1/5/2022
137,Verena,Rayner,vrayner3s@sciencedaily.com,F,4/4/1999,faible,Prepa,"€2666,91",6.0,Danser,6/18/2017,1/11/2023
138,Jarad,Garwell,jgarwell3t@timesonline.co.uk,M,23/10/1997,trés bien,Licence-IT,"€3461,59",9.0,Jardinage,10/16/2018,10/31/2023
139,Lee,Wimmer,lwimmer3u@sakura.ne.jp,M,28/10/2000,passable,Business,"€4439,99",6.0,,12/28/2017,9/21/2022
